Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Points,Explanation
What is the capital of France?,London,Berlin,Paris,Madrid,C,1,Paris is the capital of France
What is 2 + 2?,3,4,5,6,B,1,Basic addition
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,1,Mars appears red due to iron oxide
What is the largest mammal?,Elephant,Blue Whale,Giraffe,Hippopotamus,B,1,Blue whales are the largest animals on Earth
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,1,Plants use CO2 for photosynthesis
What is the chemical symbol for gold?,Go,Gd,Au,Ag,C,1,Au comes from the Latin word 'aurum'
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,D,1,The Pacific Ocean covers more than 30% of Earth's surface
How many continents are there?,5,6,7,8,C,1,"The seven continents are Africa, Antarctica, Asia, Europe, North America, Australia, and South America"
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,C,1,Diamonds are made of carbon atoms arranged in a strong lattice structure
Which element has the chemical symbol 'O'?,Osmium,Oxygen,Oganesson,Oxygen,B,1,O is the chemical symbol for Oxygen
